Exercise ID,Exercise Name,YouTube URL,Video ID,Expected CDN URL,CDN Exists,Status
lu_raises,"LU Raises",https://www.youtube.com/shorts/urTKOW7z-B4,urTKOW7z-B4,https://unclerommy.b-cdn.net/urTKOW7z-B4.mp4,YES,CDN OK
lat_pull_ins,"Lat Pull Ins",https://youtube.com/shorts/qJ7pR-sBeyk?feature=share,qJ7pR-sBeyk,https://unclerommy.b-cdn.net/qJ7pR-sBeyk.mp4,NO,CDN MISSING
lat_pulldowns,"Lat Pulldowns",https://youtube.com/shorts/m0L2srW6eAw?feature=share,m0L2srW6eAw,https://unclerommy.b-cdn.net/m0L2srW6eAw.mp4,NO,CDN MISSING
lateral_raises,"Lateral Raises",https://youtube.com/shorts/cPt2OMDmwps?feature=share,cPt2OMDmwps,https://unclerommy.b-cdn.net/cPt2OMDmwps.mp4,YES,CDN OK
leg_curls,"Leg Curls",https://youtube.com/shorts/vYtA61hKcMc,vYtA61hKcMc,https://unclerommy.b-cdn.net/vYtA61hKcMc.mp4,YES,CDN OK
leg_extensions,"Leg Extensions",https://youtube.com/shorts/vYtA61hKcMc?feature=share,vYtA61hKcMc,https://unclerommy.b-cdn.net/vYtA61hKcMc.mp4,YES,CDN OK
leg_press_machine,"Leg Press Machine",,,,,No Video URL
mid_delt_drop_set,"Mid Delt Drop Set",https://youtu.be/mIwEKj10UIg,,,,Invalid YouTube URL
mobility_wall_routine,"Mobility Wall Routine",https://youtube.com/shorts/8O_Y6Kq7RmY?feature=share,8O_Y6Kq7RmY,https://unclerommy.b-cdn.net/8O_Y6Kq7RmY.mp4,NO,CDN MISSING
modified_bradford_press,"Modified Bradford Press",https://youtube.com/shorts/dNiKylHg47c?feature=share,dNiKylHg47c,https://unclerommy.b-cdn.net/dNiKylHg47c.mp4,YES,CDN OK
neck_bridges,"Neck Bridges",https://youtube.com/shorts/RZc7amGOI7E?feature=share,RZc7amGOI7E,https://unclerommy.b-cdn.net/RZc7amGOI7E.mp4,NO,CDN MISSING
neutral_grip_barbell_rows,"Neutral Grip Barbell Rows",https://youtube.com/shorts/PkQ5UXFyaqo?feature=share,PkQ5UXFyaqo,https://unclerommy.b-cdn.net/PkQ5UXFyaqo.mp4,NO,CDN MISSING
neutral_grip_dumbbell_rows,"Neutral Grip Dumbbell Rows",https://youtube.com/shorts/PkQ5UXFyaqo?feature=share,PkQ5UXFyaqo,https://unclerommy.b-cdn.net/PkQ5UXFyaqo.mp4,NO,CDN MISSING
neutral_grip_hammer_strength_row,"Neutral Grip Hammer Strength Row",https://youtube.com/shorts/lcxvcfcXYHs?feature=share,lcxvcfcXYHs,https://unclerommy.b-cdn.net/lcxvcfcXYHs.mp4,YES,CDN OK
neutral_grip_pulldown,"Neutral Grip Pulldown",https://youtube.com/shorts/m0L2srW6eAw?feature=share,m0L2srW6eAw,https://unclerommy.b-cdn.net/m0L2srW6eAw.mp4,NO,CDN MISSING
nordic_curls,"Nordic Curls",https://youtube.com/shorts/_VCcyoM5x0M?feature=share,_VCcyoM5x0M,https://unclerommy.b-cdn.net/_VCcyoM5x0M.mp4,YES,CDN OK
overhead_barbell_press_holds,"Overhead Barbell Press Holds",https://www.youtube.com/shorts/KewVVBvfG18,KewVVBvfG18,https://unclerommy.b-cdn.net/KewVVBvfG18.mp4,YES,CDN OK
overhead_squat_snatch_holds,"Overhead Squat / Snatch Holds",https://youtube.com/shorts/x0W3FabFBGY?feature=share,x0W3FabFBGY,https://unclerommy.b-cdn.net/x0W3FabFBGY.mp4,NO,CDN MISSING
pvc_pipe_shoulder_sequence,"PVC Pipe Shoulder Sequence",https://www.youtube.com/shorts/fKt12-9JioA,fKt12-9JioA,https://unclerommy.b-cdn.net/fKt12-9JioA.mp4,YES,CDN OK
pistol_squats,"Pistol Squats",https://youtube.com/shorts/zL8Zjx6jmt0?si=J27wiUlYWuUhgMvV,zL8Zjx6jmt0,https://unclerommy.b-cdn.net/zL8Zjx6jmt0.mp4,YES,CDN OK
powell_raises,"Powell Raises",https://www.youtube.com/shorts/jPZZ0_wQcag,jPZZ0_wQcag,https://unclerommy.b-cdn.net/jPZZ0_wQcag.mp4,NO,CDN MISSING
preacher_bar_curl,"Preacher Bar Curls",,,,,No Video URL
preacher_curl_machine,"Preacher Curl Machine",,,,,No Video URL
preacher_machine_hammer_curl,"Preacher Machine Hammer Curl",https://youtube.com/shorts/QKrgoScwcEE?feature=share,QKrgoScwcEE,https://unclerommy.b-cdn.net/QKrgoScwcEE.mp4,YES,CDN OK
rack_pulls,"Rack Pulls",https://youtube.com/shorts/rSPL_LYJB9M?feature=share,rSPL_LYJB9M,https://unclerommy.b-cdn.net/rSPL_LYJB9M.mp4,NO,CDN MISSING
regular_lat_pulldowns,"Regular Lat Pulldowns",https://youtube.com/shorts/m0L2srW6eAw?feature=share,m0L2srW6eAw,https://unclerommy.b-cdn.net/m0L2srW6eAw.mp4,NO,CDN MISSING
regular_pull_ups,"Regular Pull Ups",https://youtube.com/shorts/rYs-DU1M5Bo?feature=share,rYs-DU1M5Bo,https://unclerommy.b-cdn.net/rYs-DU1M5Bo.mp4,NO,CDN MISSING
reverse_barbell_curl,"Reverse Barbell Curls",https://youtube.com/shorts/cw9Apa2v0KU?feature=share,cw9Apa2v0KU,https://unclerommy.b-cdn.net/cw9Apa2v0KU.mp4,YES,CDN OK
reverse_barbell_curls,"Reverse Barbell Curls",https://youtube.com/shorts/cw9Apa2v0KU?feature=share,cw9Apa2v0KU,https://unclerommy.b-cdn.net/cw9Apa2v0KU.mp4,YES,CDN OK
